nar_adc_id	canonical_name	phase_bucket	drug_status	brand_name	synonyms	development_codes	antigen_name	payload_moa_target	antibody_name	payload_name	linker_name	indications	companies	reference_count	reference_dois	nct_ids
DRG0MTUPD	CytSCA208	Investigative	Investigative		Monoclonal antibody CA208-cytorhodin-S conjugate		Pregnancy-specific beta-1-glycoprotein 2 (PSG2)	DNA topoisomerase 2-alpha (TOP2A)	CA208	Cytorhodin S	Undisclosed	Solid tumors Clinical candidate Drug-to-Antibody Ratio 15 3D	Aventis SA; Sanofi	0		
DRG0MUIQK	LFD-200	Phase1	Phase 1						Anti-VISTA antibody	Undisclosed	Undisclosed	Rheumatoid arthritis		0		NCT07207954
DRG0MWSEV	NN-3201	Phase1	Phase 1		NN 3201; NN-3201; NN3201		Mast/stem cell growth factor receptor Kit (KIT)	Microtubule (MT) Conjugate Type Reactive Cysteines	NN2101	Monomethyl auristatin E		Gastrointestinal stromal cancer; Phase 1 Clinical Trial Kidney cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Melanoma; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	Novelty Nobility, Inc	0		
DRG0MXUQM	MYX2449	Investigative	Investigative		MYX 2449; MYX2449		Receptor tyrosine-protein kinase erbB-2 (HER2)	Glycylpeptide N-tetradecanoyltransferase 1 (NMT1)	Trastuzumab	N-Myristolytransferase inhibitor (NMTi)	Undisclosed	Breast cancer; Investigative Gastric cancer; Investigative Drug-to-Antibody Ratio 5	Myricx Pharma Ltd	0		
DRG0MYSHH	Thio-Tmab-BMPEO-DM1	Investigative	Investigative		Thio-Tmab BMPEO DM1		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	Thio-Tmab	Maytansinoid DM1	Thio-Tmab-BMPEO-DM1 linker Conjugate Type Random conjugation through reduced int	Breast cancer; Investigative Drug-to-Antibody Ratio 1.6	Genentech, Inc	0		
DRG0MZYPU	Telimomab aritox	Investigative	Investigative		T101-RTA; T101RTA; T101 RTA		T-cell surface glycoprotein CD5 (CD5)	Ribosome (RB)	Anti-CD5 mAb T101	Ricin A-chain	Undisclosed	B-cell lymphoma Clinical candidate		0		
DRG0NATHY	LP-A18	Investigative	Investigative		Antibody drug conjugate Lantern Pharma; LPA18; LP A18		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors (; Investigative)	Lantern Pharma, Inc	0		
DRG0NDFLP	OXS-1650	Phase1	Phase 1						Undisclosed	Pseudomonas exotoxin PE38	Undisclosed	Solid tumor		0		
DRG0NDSLT	DYNE-301	Investigative	Investigative		DYNE301; DYNE 301; Facioscapulohumeral muscular dystrophy therapy-Dyne Therapeutics; FORCE-FM10		Double homeobox protein 4 (DUX4)		Undisclosed	Undisclosed	Undisclosed	Facioscapulohumeral muscular dystrophy Clinical candidate Muscular dystrophy Clinical candidate	Dyne Therapeutics, Inc	0		
DRG0NDXRU	Belantamab mafodotin	Approved	Approved (FDA): Aug, 2020	Blenrep	GSK-2857916; GSK'916; GSK2857916; J6M0-mcMMAF; anti-BCMA-ADC; Belamaf; belantamab mafodotin-blmf		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Microtubule (MT)	Belantamab	Monomethyl auristatin F	Maleimido-caproyl	Multiple myeloma; Approved Approval Document Amyloidosis; Phase 2 Clinical Trial Diffuse large B-cell lymphoma; Phase 2 Clinical Trial Immune thrombocytopenic purpura; Phase 2 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	GSK Plc; GlaxoSmithKline (Ireland) Ltd; Glaxosmithkline Intellectual Property Development Ltd	4	10.1038/s41408-019-0196-6.; 10.1158/1535-7163.MCT-21-0035.	NCT02064387; NCT03769506
DRG0NELLD	<sup>111</sup>In-DTPA-D2B-DAR4-MMAE	Investigative	Investigative						Anti-PSMA IgG1 mAb D2B	Monomethyl auristatin E	Mc-Val-Cit-PABC	Prostate cancer		0		
DRG0NEMOV	Losatuxizumab vedotin	Phase1	Phase 1 (Terminated)		ABBV 224; ABBV-221; ABBV221; Losatuxizumab vedotin		Epidermal growth factor receptor (EGFR)	Microtubule (MT)	Losatuxizumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Brain cancer; Phase 1 Clinical Trial Breast cancer; Phase 1 Clinical Trial Colorectal cancer; Phase 1 Clinical Trial Head and neck cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 3D	AbbVie, Inc	4	10.3390/ph13100289.	NCT02365662
DRG0NFTVD	APN-959038	Investigative	Investigative		APN959038; APN 959038		Transmembrane protein (novel epitope)		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Atreca, Inc	0		
DRG0NGDCM	SKB445	Phase1	Phase 1						Anti-CDH3 antibody	KL610348	A cleavable linker	Unspecific solid tumor		0		NCT06826040
DRG0NKUQA	JS114	Investigative	Investigative		JS 114; JS-114		Nectin-4 (NECTIN4)		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Shanghai Junshi Biosciences Co., Ltd	0		
DRG0NLEYN	Tra-IR700	Investigative	Investigative		Trastuzumab-IR700		Receptor tyrosine-protein kinase erbB-2 (HER2)		Trastuzumab	IRDye 700DX	Undisclosed Conjugate Type Random conjugation through nucleophilic lysines. Comb	Head and neck cancer Clinical candidate Breast cancer; Investigative Drug-to-Antibody Ratio 2 3D	Rakuten Medical, Inc	1	10.1002/btm2.10388.	
DRG0NMCNK	ZV0203	Phase1	Phase 1		Recombinant anti-EGFR monoclonal antibody- DUO5 conjugate; ZV 0201; ZV 0203; ZV-0201; ZV-0203; ZV0201; ZV0203; ZV0203-ADC; ADC-2122; ADC 2122; ADC2122		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	Pertuzumab	Duostatin 5	Pip-Val-Cit	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	Zhejiang Hisun Pharmaceutical Co., Ltd; Zhejiang Zova Biotherapeutics Inc	0		
DRG0NMCNN	SGN-CD48A	Phase1	Phase 1						Humanized anti-SLAMF2 SGN-CD48A mAb	Monomethyl auristatin E		Multiple myeloma		0		
DRG0NMRNE	KSI-601	Investigative	Investigative		KSI 601; KSI601		Vascular endothelial growth factor A (VEGFA)		Undisclosed	Undisclosed	Undisclosed	Glaucoma Clinical candidate Macular degeneration Clinical candidate	Kodiak Sciences, Inc	0		
DRG0NNKAQ	Ifinatamab deruxtecan	Phase3	Phase 3		DS 7300; DS-7300; DS-7300a; DS7300; Ifinatamab deruxtecan; I-DXd		CD276 antigen (CD276)	DNA topoisomerase 1 (TOP1)	Ifinatamab	DX-8951 derivative (DXd)	Mc-Gly-Gly-Phe-Gly	Solid tumor; Phase 3 Clinical Trial Lung cancer; Phase 2 Clinical Trial Prostate cancer; Phase 2 Clinical Trial Drug-to-Antibody Ratio 4 3D	Daiichi Sankyo Co., Ltd	3		NCT04145622; NCT05280470
DRG0NNNWR	EX108	Investigative	Investigative		EX 108; EX-108		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Gastric cancer Clinical candidate Non-small cell lung cancer Clinical candidate	Excelmab Inc	0		
DRG0NOFEI	BB-1712	Phase1	Phase 1						A anti-B7-H3 mAb	Eribulin	A cleavable linker	Unspecific solid tumor		0		
DRG0NOYME	NW-001	Investigative	Investigative		NW001; NW 001		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors (; Investigative)	Shenzhen Chipscreen Biosciences Co., Ltd	0		
DRG0NTFBR	MEDI-3726	Phase1	Phase 1 (Terminated)		ADCT 401; ADCT-401; MEDI 3726; MEDI-3726; MEDI3 726 (forme rly ADCT-401); MEDI3726		Glutamate carboxypeptidase 2 (FOLH1)	Human Deoxyribonucleic acid (hDNA)	J591	SG3199	Mal-PEG8-Val-Ala-PABC	Prostate cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	MedImmune LLC; AstraZeneca PLC	2		NCT02991911
DRG0NWBIQ	HY-0001	Investigative	Investigative		HY 0001; HY0001		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Sichuan Huiyu Pharmaceutical Co., Ltd	0		
DRG0NXVNX	PNU-159682-P1C1TM	Phase1	Phase 1						Undisclosed	PNU-159682	Undisclosed			0		
DRG0NZUKF	WTX-212	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0NZUZJ	CX-2051	Phase1	Phase 1		CX 2051; CX2051		Epithelial cell adhesion molecule (EPCAM)	DNA topoisomerase 1 (TOP1) Conjugate Type Undisclosed	Undisclosed	Camptothecin analog		Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 8	CytomX Therapeutics, Inc	0		
DRG0OAWRK	SHR-A1403	Phase1	Phase 1 (Terminated)		HTI 1066; HTI-1066; SHR A1403; SHR-A1403; SHR-A1403, HTI-1066; SHRA1403		Hepatocyte growth factor receptor (MET)	Microtubule (MT)	A humanised anti-c-MET IgG2 monoclonal antibody	SHR152852	L2-MC	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	Jiangsu Hengrui Pharmaceuticals Co., Ltd; Shanghai Hengrui Pharmaceutical Co., Ltd	3		NCT03856541
DRG0ODFEJ	EGFR-EDV-RRM1	Phase1	Phase 1						Undisclosed	Doxorubicin	Undisclosed			0		
DRG0OGZEE	Mirzotamab clezutoclax	Phase1	Phase 1		ABBV-155; ABBV 155; ABBV155		CD276 antigen (CD276)	Bcl-2-like protein 1 (BCL2L1)	Mirzotamab	Clezutoclax	Valine-alanine (cleavable linker)	Breast cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2	AbbVie, Inc	0		
DRG0OJHEN	AVID-100	Phase2	Phase 1/2 (Terminated)		AVID 100; AVID-100; AVID100		Epidermal growth factor receptor (EGFR)	Microtubule (MT)	MAB100	Mertansine DM1	Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC)	Breast cancer; Phase 2 Clinical Trial Head and neck cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Bristol Myers Squibb Co; Formation Biologics	1		NCT03094169
DRG0OMIWX	BA1301	Phase1	Phase 1						Undisclosed	Duostatin 5	Undisclosed	Solid tumor		0		
DRG0OMORU	FZ-AD004	Phase1	Phase 1		FZ AD004; FZ-AD004; FZAD004		Tumor-associated calcium signal transducer 2 (TROP2)	DNA topoisomerase 1 (TOP1)	Undisclosed	DX-8951 derivative (DXd)	Mc-Val-Ala-PABC double self-immolative linker	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Shanghai Fudan Zhangjiang Bio Pharmaceutical Co., Ltd	0		
DRG0OMVBK	Azintuxizumab vedotin	Phase1	Phase 1 (Terminated)		ABBV 838; ABBV-838; ABBV838; Azintuxizumab vedotin		SLAM family member 7 (SLAMF7)	Microtubule (MT)	Azintuxizumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Multiple myeloma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	AbbVie, Inc	3		NCT02462525; NCT02951117
DRG0ONAEP	BRY811	Investigative	Investigative		BRY-811; BRY 811		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors (; Investigative)	BioRay Biopharmaceutical Co., Ltd	0		
DRG0ONNVN	PSM-101	Investigative	Investigative		PSM 101; PSM101		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Colon cancer Clinical candidate Head and neck cancer Clinical candidate	PrecisemAb Biotech Co., Ltd	0		
DRG0OOMJM	Basiliximab sarotalocan	Investigative	Investigative		Basiliximab sarotalocan		Interferon-stimulated gene 20 kDa protein (ISG20)		Basiliximab	Undisclosed	Undisclosed	Antibody Name: Basiliximab		0		
DRG0OOXRC	XNW-28012	Investigative	Investigative		XNW 28012; XNW28012		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors IND	Suzhou Sinovent Pharmaceuticals Co.,Ltd; Shanghai Sinovent Biopharmaceutical Co., Ltd	0		
DRG0OPFVY	Samrotamab vedotin	Phase1	Phase 1 (Terminated)		ABBV 085; ABBV-085; ABBV085; PR-1498487-MMAE; Samrotamab vedotin		Leucine-rich repeat-containing protein 15 (LRRC15)	Microtubule (MT)	Samrotamab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	AbbVie, Inc	3		NCT02565758
DRG0OPGMW	Recombinant chimeric anti-CD30 mAb-MCC-DM1	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0ORDYU	LIN-002	Investigative	Investigative		AF-Lx-trastuzumab; Auristatin-F-Lx-trastuzumab; trastuzumab-Lx-AF; LIN 002; LIN002		Receptor tyrosine-protein kinase erbB-2 (HER2)		Trastuzumab	Undisclosed	Undisclosed	Metastatic breast cancer Clinical candidate	LinXis B.V	0		
DRG0OTOJV	IKS-03	Phase1	Phase 1		IKS 03; IKS-03; IKS03; LCB-73; LCB 73; LCB73; NI-2201; NI 2201; NI2201		B-lymphocyte antigen CD19 (CD19)	Human Deoxyribonucleic acid (hDNA)	Undisclosed	Pyrrolobenzo diazepine prodrug	Tumor-cleavable linker	Diffuse large B-cell lymphoma; Phase 1 Clinical Trial Follicular lymphoma; Phase 1 Clinical Trial Mantle cell lymphoma; Phase 1 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2	Iksuda Therapeutics Ltd	0		
DRG0OUXWT	Rolinsatamab talirine	Phase1	Phase 1 (Terminated)		ABBV 176; ABBV-176; ABV176; DC-1630993; Rolinsatamab talirine; h16f		Prolactin receptor (PRLR)	Human Deoxyribonucleic acid (hDNA)	Rolinsatamab	SGD-1882	Mc-Val-Ala	Breast cancer; Phase 1 Clinical Trial Colorectal cancer; Phase 1 Clinical Trial Kidney cancer; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	AbbVie, Inc	2		NCT03145909
DRG0OVMJM	PRN 222	Investigative	Investigative		PRN-222; PRN222		Epidermal growth factor receptor (EGFR); Receptor tyrosine-protein kinase erbB-3 (HER3)		Undisclosed	Undisclosed	Undisclosed Combination Type ArtBody technology	Lung cancer Clinical candidate	ProEn Therapeutics Inc	0		
DRG0OVQWP	HDM2024	Phase1	Phase 1						Anti-EGFR/HER3 bsAb	Exatecan	A cleavable linker	Unspecific solid tumor		0		
DRG0OWHOL	<sup>89</sup>Zr-DFO-T-DM1	Investigative	Investigative						Zr-labeled trastuzumab	Mertansine DM1	Undisclosed	Breast cancer		0		
DRG0OYGNU	KIVU-107	Phase1	Phase 1						Anti-PTK7 humanized IgG1 monoclonal antibody	Exatecan	Undisclosed	Unspecific solid tumor		0		NCT07229313
DRG0OZSZX	Upifitamab rilsodotin	Phase3	Phase 3		UpRi; Upifitamab rilsodotin; XMT 1536; XMT-1536; XMT1536		Sodium-dependent phosphate transport protein 2B (SLC34A2)	Microtubule (MT)	XMT-1535	Auristatin F hydroxypropylamide (AF-HPA)	Dolaflexin polymer	Fallopian tube cancer; Phase 3 Clinical Trial Peritoneal cancer; Phase 3 Clinical Trial Lung cancer; Phase 2 Clinical Trial Ovarian cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 10 to 12 3D	Mersana Therapeutics, Inc	4		NCT03319628; NCT04907968; NCT05329545
DRG0PCDHO	LY4175408	Phase1	Phase 1						A anti-PTK7 mAb	Exatecan	A proprietary polysarcosine hydrophobicity linker	Lung cancer		0		NCT07046923
DRG0PCGKN	hu5B1-TCO	Phase1	Phase 1						hu5B1	Undisclosed	Undisclosed	Pancreatic cancer		0		NCT05737615
DRG0PDZSX	3-NAntC	Investigative	Investigative		3-NAnTc-sdAb; 3 NAntC; 3NAntC		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Triple negative breast cancer Clinical candidate		0		
DRG0PEVVH	FDA-018	Phase3	Phase 3		FDA-018; FDA018; FDA018 Antibody Drug Cojugate; F0024		Tumor-associated calcium signal transducer 2 (TROP2)	DNA topoisomerase 1 (TOP1) Conjugate Type Undisclosed General Information of The Activity Data Related to This ADC Identified from the Human Clinical Data Standard Type NCT Number Clinical Status Clinical Trial Description Undisclosed NCT05174637 Phase 1 A phase study to evaluate the safety, tolerability, pharmacokinetics and efficacy of FDA018-ADC in patients with advanced solid tumors. Full List of Activity Data of This Antibody-drug Conjugate Identified from the Human Clinical Data Experiment 1 Reporting the Activity Date of This ADC [ 1 ] Related Clinical Trial NCT Number NCT05174637 Clinical Status Phase 1 Clinical Description A phase study to evaluate the safety, tolerability, pharmacokinetics and efficacy of FDA018-ADC in patients with advanced solid tumors. References Ref 1 A PhaseStudy to Evaluate the Safety, Tolerability, Pharmacokinetics and Efficacy of FDA018-ADC in Patients With Advanced Solid Tumors, NCT05174637	A humanized monoclonal antibody against human Trop-2	Active metabolite of irinotecan SN38		Breast cancer; Phase 3 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 7.6 3D	Shanghai Fudan Zhangjiang Bio Pharmaceutical Co., Ltd	1		NCT05174637
DRG0PFKFR	Pinatuzumab vedotin	Phase1	Phase 1 (Terminated)		ACD22-VCMMAE; Anti-CD22-ADC; Anti-CD22-MCC-DM1; DCDT 2980S ADC; DCDT 2980S antibody-drug conjugate; DCDT-2980S; DCDT2980S; FCU-2703; Pinatuzumab vedotin; RG-7593; RG7593, DCDT2 980S; RO-5541072; RO-5541072-000		B-cell receptor CD22 (CD22)	Microtubule (MT)	Pinatuzumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Chronic lymphocytic leukemia; Phase 1 Clinical Trial Diffuse large B-cell lymphoma; Phase 1 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	Genentech, Inc	3		NCT01209130; NCT01691898
DRG0PFQKN	EDC-2	Investigative	Investigative		EDC2; EDC 2; extracellular drug conjugate-2; extracellular drug conjugate-2 (Centrose)		Basigin (BSG)		Undisclosed	Glycosylation scillarenin	CEN010-105 Info	Head and neck cancer Clinical candidate Drug-to-Antibody Ratio 1 3D	Centrose LLC	0		
DRG0PGRFM	BCG-011	Investigative	Investigative		BCG011; BCG 011		Tumor-associated calcium signal transducer 2 (TROP2); Epidermal growth factor receptor (EGFR)		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Biocytogen Pharmaceuticals (Beijing) Co., Ltd	0		
DRG0PGYJL	IPH43	Investigative	Investigative		IPH-43; IPH 43		MHC class I polypeptide-related sequence A (MICA)	Human Deoxyribonucleic acid (hDNA)	Glycosylated Anti-MICA Anti-ody	PBD dimer	Undisclosed Conjugate Type Site-specific conjugation through the glutamine 295 b	Solid tumors Clinical candidate Drug-to-Antibody Ratio 2 3D	Innate Pharma SA; AstraZeneca PLC	0		
DRG0PHKMG	TORL-4-500	Phase1	Phase 1		TORL-4-500; TORL 4 500; TORL4500		Protein delta homolog 1 (DLK1)	Microtubule (MT) Conjugate Type Undisclosed	a humanized monoclonal antibody	Monomethyl auristatin E		Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	TORL Biotherapeutics LLC	0		
DRG0PKYBF	N01-OX2	Investigative	Investigative		N01 OX2; N01OX2; IN-N01-OX2; IN N01 OX2		Melatonin receptor type 1A (MTNR1A)	Mineralocorticoid receptor (NR3C2)	Anti-MTNR1A IgG4 humanized mAb	Melatonin	Undisclosed	Alzheimer disease; Investigative Cerebral amyloid angiopathy; Investigative Diabetic retinopathy; Investigative Glaucoma; Investigative 3D	Intellect Neurosciences, Inc	0		
DRG0PLPNX	SGN-ALPV	Phase1	Phase 1 (Terminated)		SGN-ALPV; SGN ALPV; SGNALPV		Alkaline phosphatase, germ cell type (ALPG); Alkaline phosphatase, placental type (ALPP)	Microtubule (MT)	h12F3	Monomethyl auristatin E	Mc-Val-Cit-PABC	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	Seagen Inc	1		NCT05229900
DRG0PNJIT	Tisotumab vedotin	Approved	Approved (FDA): Sep 22, 2021	Tivdak	HuMax-TF-ADC; Tisotumab vedotin; GCT1015-04; IGG1-1015-011-1006; TF-011-MMAE; WHO 10148; Humax TF ADC; HuMax-TF; HuMax-TF-ADC		Tissue factor (F3)	Microtubule (MT)	Tisotumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Cervical cancer; Approved Approval Document Endometrial cancer; Phase 2 Clinical Trial Fallopian tube cancer; Phase 2 Clinical Trial Head and neck cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Oesophageal cancer; Phase 2 Clinical Trial Ovarian cancer; Phase 2 Clinical Trial Peritoneal cancer; Phase 2 Clinical Trial Prostate cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Urothelial cancer; Phase 2 Clinical Trial Drug-to-Antibody Ratio 4 3D	Seagen Inc; Genmab A/S; Zai Lab Ltd; Rps Medical Technology (Beijing) Co., Ltd	9		NCT02001623; NCT02552121; NCT03245736; NCT03438396; NCT03485209; NCT03657043; NCT03786081; NCT03913741; NCT04697628
DRG0PPLJW	Y-TR1 SPDP	Investigative	Investigative		Y-TR1-SPDP		Dipeptidyl peptidase 4 (DPP4)	Nuclear factor NF-kappa-B p105 subunit (NFKB1)	Anti-CD26 mAb YS110	Triptolide	N-succinimidyl 3-(2-pyridyldithio) propionate (SPDP)	Mature T-cell lymphoma; Investigative Pleural mesothelioma; Investigative Drug-to-Antibody Ratio 1 3D		1	10.3390/cancers11081138.	
DRG0PPLRQ	GENA-111-AF	Investigative	Investigative		GENA-111 AF; GENA-111AF; GENA-111-ADC; GENA-111 ADC		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Microtubule (MT)	GENA-111	Monomethyl auristatin F	Undisclosed Conjugate Type Debiopharms Multilin technology and a stabilized thio	Epithelial ovarian cancer; Investigative Drug-to-Antibody Ratio 4.26 3D	Genome & Co	0		
DRG0PQJDH	MEDI-2228	Phase1	Phase 1 (Terminated)		MEDI 2228; MEDI-2228; MEDI2 228; MEDI2228		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Human Deoxyribonucleic acid (hDNA)	BCMA-Ab1	SG3199	Mal-PEG8-Val-Ala-PABC	Multiple myeloma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	MedImmune LLC; AstraZeneca PLC	3		NCT03489525
DRG0PRKPN	VL-DAB31-SN38	Investigative	Investigative		VL DAB31 SN38		Undisclosed	DNA topoisomerase 1 (TOP1)	Rabbit derived VL single-domain Anti-ody	Active metabolite of irinotecan SN38	Mal-Cyc-PEG3-DAB	B-cell lymphoma; Investigative 3D		0		
DRG0PSWNN	SIBP-A18	Phase1	Phase 1						Anti-CLDN18.2 antibody	DXd	Mc-VASGFG	Gastroesophageal junction adenocarcinoma		0		NCT06985368
DRG0PULZQ	YL201	Phase3	Phase 3						Undisclosed	YL0010014	Tumor microenviroment activable tripeptide linker	Lung cancer		0		
DRG0PWAOJ	SGN-CD228A	Phase1	Phase 1 (Terminated)		Anti-CD228-MMAE; SGN CD228A; SGN-CD228A; anti-CD228 antibody-drug conjugate		Melanotransferrin (MELTF)	Microtubule (MT)	hL49	Monomethyl auristatin E	b-glucuronidase cleavable linker	Breast cancer; Phase 1 Clinical Trial Colorectal cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Melanoma; Phase 1 Clinical Trial Pancreatic cancer; Phase 1 Clinical Trial Pleura mesothelioma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 8 3D	Seagen Inc	2		NCT04042480
DRG0PXBVI	RC68-PY-Val-Cit-PABC-MMAE	Investigative	Investigative		RC68 PY VC PAB MMAE		Epidermal growth factor receptor (EGFR)	Microtubule (MT)	RC68	Monomethyl auristatin E	PY-VC-PABC	Pancreatic cancer Clinical candidate Drug-to-Antibody Ratio 4 3D	RemeGen Co., Ltd	0		
DRG0PXQWR	Depatuxizumab mafodotin	Phase2	Phase 1/2 (Terminated)		ABT-414; ABT-414/806; Depatux-M; Depatuxizumab mafodotin		Epidermal growth factor receptor (EGFR)	Microtubule (MT)	Depatuxizumab	Monomethyl auristatin F	Maleimido-caproyl	Brain cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.8 3D	AbbVie, Inc	2	10.1093/neuonc/noac173.; 10.3390/ph13100289.	
DRG0QAHFT	DS3610	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed	Unspecific solid tumor		0		NCT07159126
DRG0QBQKB	EBC-129	Phase1	Phase 1		EBC 129; EBC-129; EBC129		Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5); Carcinoembryonic antigen-related cell adhesion molecule 6 (CEACAM6)	Microtubule (MT)	Undisclosed	Monomethyl auristatin E	Mc-Val-Cit-PABC	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.5 3D	Experimental Drug Development Centre, PAREXEL International Corp	0		
DRG0QCCTW	KM501	Phase1	Phase 1		KM 501; KM-501; KM501; Recombinant anti-HER2 domain II and domain IV bispecific antibody-MMAE conjugate (Xuanzhu); XZP-KM501		Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4)	Microtubule (MT)	Undisclosed	Monomethyl auristatin E	Undisclosed Conjugate Type Undisclosed Puchem SID 386397316	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Xuanzhu Biopharmaceutical Co., Ltd	0		
DRG0QDCHN	PRO-1160	Phase2	Phase 1/2		PRO 1160; PRO-1160; PRO1160		CD70 antigen (CD70)	DNA topoisomerase 1 (TOP1)	Undisclosed	Exatecan	Cys-11 ADC linker	Kidney cancer; Phase 2 Clinical Trial Nasopharyngeal cancer; Phase 2 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 2 Clinical Trial Drug-to-Antibody Ratio 8 3D	ProfoundBio (Suzhou) Co., Ltd	1		NCT05721222
DRG0QEAUM	RG7787	Investigative	Investigative		RG 7787; RG-7787		Mesothelin (MSLN)	Eukaryotic elongation factor 2 (EEF2)	Anti-MSLN Anti-ody Fab fragment	Pseudomonas exotoxin PE24	Undisclosed General Information of The Activity Data Related to This ADC Reveale	Epidermoid cancer; Investigative Pancreatic cancer; Investigative Pleural mesothelioma; Investigative Triple negative breast cancer (; Investigative)		1	10.1158/0008-5472.CAN-15-2401.	
DRG0QEUVQ	BSC-4201	Investigative	Investigative		BSC4201; BSC 4201		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	BiSiChem Co. Ltd	0		
DRG0QFDKM	RAD-502	Investigative	Investigative		RAD 502; RAD502; Lutetium-177 labeled humanized monoclonal antibody targeting leucine rich repeat containing 15 (LRRC15)		Leucine-rich repeat-containing protein 15 (LRRC15)		Undisclosed	Undisclosed	Undisclosed Special Approval(s) Orphan drug(FDA)	Osteosarcoma Clinical candidate	Radiopharm Theranostics Ltd	0		
DRG0QIJRR	IMB-201	Investigative	Investigative		Antibody-drug conjugates (ImmunoBiochem); IMB 201; IMB201		HLA class I histocompatibility antigen, alpha chain G (HLA-G)		Undisclosed	Undisclosed	Undisclosed	Breast cancer (; Investigative)	ImmunoBiochem Corp	0		
